OBJECTID,ASSET_ID,SITE_NAME,PLOT_NO,FEATURE_ID,LOCATION,TYPE,PRIM_MEAS,UNIT,SITE_CODE,FEAT_GP,UPRN,VALIDATED,CENTROID_X,CENTROID_Y,FEATURE_AREA,FEATURE_LENGTH,WEB_SITE,MAKE_UPRN,MAJOR_SITE,CENTRAL_ASSET_ID,CONTRACT_AREA_NAME,CUSTOMER,DEAD_FLAG,FEATURE_GROUP,FEATURE_GROUP_CODE,FEATURE_TYPE_NAME,FEATURETYPECODE,NOTES,REVISION_NO,gislive.PARKS.P_AND_GS_SITES.AREA,SITE,SHAPESTArea,SHAPESTLength
1,PK00144904,Horfield Common Tennis Centre (Ardagh),108888,Local Park," Sports Facilities,",Parks and Green Space Site,1,Site,HORFTECEAR,PG,000000303286,2011/03/28 00:00:00+00,358950.25839676,176388.69243329,13146.5359545,477.5889029,in,0,13146.535*,,,,,,,,,,,,,13146.5359545,477.588902907716
2,PK00145098,The Tump,108888,Open Space,,Parks and Green Space Site,1,Site,THETU,PG,000000303395,2011/03/28 00:00:00+00,353894.09023307,177677.02852023,34160.45597243,1046.82484072,in,0,34160.455*,,,,,,,,,,,,,34160.4559725,1046.82484071796
3,PK00145035,Rowlandson Gardens Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,ROWLGAOS,PG,000000303906,2011/03/28 00:00:00+00,360524.79533573,176945.40092498,7183.06341951,470.62274908,out,0,7183.0634*,,,,,,,,,,,,,7183.0634195,470.622749082668
4,PK00144896,Highridge Park,108888,Open Space,,Parks and Green Space Site,1,Site,HIGHPA,PG,000000303718,2011/03/28 00:00:00+00,356555.25202214,168447.27627444,1145.42126999,355.64035583,out,0,1145.4212*,,,,,,,,,,,,,1145.42127,355.640355832619
5,PK00144849,Frenchay Park Road (Stapleton AFC),108888,Playing Field," Sports Facilities,",Parks and Green Space Site,1,Site,FRENPAROST,PG,000000303455,2011/03/28 00:00:00+00,363165.64194053,177637.42861198,28979.86774989,796.63863752,In,0,28979.867*,,,,,,,,,,,,,28979.86775,796.638637519965
6,PK00144927,Lakemead Grove Sportsground,108888,Playing Field," Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,1,Site,LAKEGRSP,PG,000000303705,2011/03/28 00:00:00+00,356786.51689721,168677.31125801,36181.4130975,1040.90773958,out,0,36181.413*,,,,,,,,,,,,,36181.4130975,1040.90773958243
7,PK00145033,Roman Remains (Portway),108888,Amenity Area,,Parks and Green Space Site,1,Site,ROMAREPO,PG,000000303477,2011/03/28 00:00:00+00,355125.63252709,175768.12561026,275.41825,68.48536896,out,0,275.41824*,,,,,,,,,,,,,275.41825,68.485368956244
8,PK00145052,South Street Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,SOUTSTPA,PG,000000303413,2011/03/28 00:00:00+00,358092.63505736,171279.74794282,4832.46221549,439.16133942,in,0,4832.4622*,,,,,,,,,,,,,4832.4622155,439.161339416961
9,PK00144991,Novers Common,108888,Open Space,,Parks and Green Space Site,1,Site,NOVECOSTOS,PG,000000303827,2011/03/28 00:00:00+00,358579.81864765,170254.8139899,68338.98823853,1705.6259631,out,0,68338.988*,,,,,,,,,,,,,68338.9882385,1705.62596309248
10,PK00145051,Somerset Square Green Space,108888,Local Park," Attraction,",Parks and Green Space Site,1,Site,SOMESQ,PG,000000299337,2011/03/28 00:00:00+00,359165.00467708,172134.30241952,2637.71254999,208.7326535,in,0,2637.7125*,,,,,,,,,,,,,2637.71255,208.732653503925
11,PK00145046,Shirehampton Sportsground,108888,Playing Field," Sports Facilities,",Parks and Green Space Site,1,Site,SHIRSP,PG,000000303497,2011/03/28 00:00:00+00,353701.79069518,177153.92084011,17401.59069142,511.80320999,Pe*,0,17401.590*,,,,,,,,,,,,,17401.5906915,511.803209985621
12,PK00145091,The Coppice,108888,Open Space,,Parks and Green Space Site,1,Site,THECOP,PG,000000303795,2011/03/28 00:00:00+00,356218.90707956,167569.88910536,18022.21329851,1088.27202405,Pa*,0,18022.213*,,,,,,,,,,,,,18022.2132985,1088.27202404255
13,PK00145032,Roman Remains (Long Cross),108888,Amenity Area," Museum,",Parks and Green Space Site,1,Site,ROMARELOCR,PG,000000302463,2011/03/28 00:00:00+00,353394.35461818,177553.5084466,815.37647499,126.61785966,out,0,815.37647*,,,,,,,,,,,,,815.376475,126.617859661444
14,PK00144784,City Docks,108888,Amenity Area,"SAM, Heritage at Risk, Attraction,",Parks and Green Space Site,1,Site,CITYDOCO,SW,,,358217.90787756,172349.07773443,142025.65292996,28418.26565341,Out,,142025.65*,,,,,,,,,,,,,142025.65292983,28418.2656533648
15,PK00144695,Adelaide Place Park,108888,Local Park,,Parks and Green Space Site,1,Site,ADELPL,PG,000000303897,2022/08/15 00:00:00+00,360835.14370843,173881.77867209,511.88426684,129.88669459,Out,0,495.11031*,,,,,,,,,,,,,511.88426685,133.004086660705
16,PK00144697,Albany Green Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,ALBAGR,PG,000000303198,2022/08/15 00:00:00+00,359591.65237257,174384.64018662,2192.55975653,207.92944176,In,0,2192.5597*,,,,,,,,,,,,,2192.5597565,207.929441759648
17,PK00144699,Allerton Crescent Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,ALLECR,PG,000000303529,2022/08/15 00:00:00+00,360731.68858032,167868.43378021,3459.72422148,244.31410887,Out,0,3459.7242*,,,,,,,,,,,,,3459.7242215,244.314108871575
18,PK00144698,Albion Road Amenity Area,108888,Amenity Area," Play Area,",Parks and Green Space Site,1,Site,ALBIROOS,PG,000000303871,2022/08/15 00:00:00+00,360900.22390288,174210.31336517,1107.46713999,157.78822211,In,0,1107.4671*,,,,,,,,,,,,,1107.46714,157.788222110898
19,PK00144700,Allison Avenue Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,ALLIAV,PG,000000303652,2022/08/15 00:00:00+00,362258.57786806,171597.25638631,2030.94252197,203.92944641,In,0,2030.9425*,,,,,,,,,,,,,2030.942522,203.929446412557
20,PK00144701,Allison Avenue & Hill Lawn,108888,Amenity Area,,Parks and Green Space Site,1,Site,ALLIAVHILA,PG,000000303295,2022/08/15 00:00:00+00,362130.92606656,171297.18757302,7219.22786948,735.52525312,Pe*,0,7219.2278*,,,,,,,,,,,,,7219.2278695,735.525253120325
21,PK00201280,Winash Amenity Area,108888,Amenity Area,,Parks and Green Space Site,0,Site,WINAAA,PG, ,2022/08/15 00:00:00+00,361570.28358151,169445.35593009,2750.02168099,340.07281073,in,0,2750.0216*,,,,,,,,,,,,,2750.021681,340.072810730837
22,PK00144702,Amercombe & Hencliffe Walk,108888,Amenity Area,,Parks and Green Space Site,1,Site,AMERHEWA,PG,000000303361,2022/08/17 00:00:00+00,361603.36981912,169173.62202256,9742.72040117,893.37502078,out,0,9968.6983*,,,,,,,,,,,,,9742.72040115,894.591282707506
23,PK00144706,Arlington Villas Park,108888,Local Park,,Parks and Green Space Site,1,Site,ARLIVI,PG,000000303217,2022/08/17 00:00:00+00,357527.84882131,173452.20857227,2010.426422,225.40121999,Out,0,2010.4264*,,,,,,,,,,,,,2010.426422,225.401219992741
24,PK00144705,Argyle Road Playing Fields,108888,Playing Field," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,ARGYROPLFI,PG,000000303289,2022/08/17 00:00:00+00,363622.34337223,174619.09179337,63655.4543442,1689.83680992,Out,0,63655.454*,,,,,,,,,,,,,63655.454344,1689.83680992506
25,PK00144704,Argyle Place Park,108888,Pocket Park," Play Area,",Parks and Green Space Site,1,Site,ARGYPL,PG,000000299405,2022/08/17 00:00:00+00,357461.62564227,172549.93098791,1093.95924648,163.80299485,In,0,1093.9592*,,,,,,,,,,,,,1093.9592465,163.802994853917
26,PK00144703,Anchor Square,108888,Amenity Area,Listed Building,Parks and Green Space Site,1,Site,ANCHSQ,PG,000000303456,2022/08/17 00:00:00+00,358459.55276744,172545.99971094,3542.32346723,339.26644978,Pe*,0,3810.6529*,,,,,,,,,,,,,3542.3234672,344.306669575563
27,PK00144712,Ashton Vale Playing Fields,108888,Playing Field," Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,1,Site,ASHTVAPLFI,PG,000000303279,2022/08/17 00:00:00+00,356289.57293729,170292.29688242,38064.81554846,1089.39439561,in,0,38064.815*,,,,,,,,,,,,,38064.8155485,1089.39439560853
28,PK00144711,Ashton Court Estate,108888,Destination Park," Attraction, Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,1,Site,ASHTCOES,PG,000000303360,2022/08/17 00:00:00+00,355190.03572549,172022.60950241,3110614.12373181,11555.90180547,in,0,3110614.1*,,,,,,,,,,,,,3110614.1237315,11555.9018054795
29,PK00144718,Bamfield Green Space,108888,Open Space,,Parks and Green Space Site,1,Site,BAMFRO,PG,000000303400,2022/08/18 00:00:00+00,360073.41718695,168040.60484151,37832.54940701,889.60883224,in,0,37832.549*,,,,,,,,,,,,,37832.549407,889.608832242632
30,PK00144713,Avonmouth Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,AVONPA,PG,000000303365,2022/08/17 00:00:00+00,351684.84827595,178177.50350729,9244.64017794,461.12004102,in,0,9244.6401*,,,,,,,,,,,,,9244.640178,461.120041021033
31,PK00272670,Bangrove Walk CPG,108888,Childrens Play Only," Play Area,",Parks and Green Space Site,1,Site,BANGWACPG, ,,2022/08/18 00:14:54+00,353403.82789433,177662.77680179,1053.8299315,134.04759642,out,,1053.8299*,,,,,,,,,,,,,1053.8299315,134.04759642038
32,PK00144720,Barnard Park,108888,Open Space,,Parks and Green Space Site,1,Site,BARNPAWEFA,PG,000000303474,2022/08/18 00:00:00+00,356937.74356431,179032.49330037,11292.37001391,752.48417072,in,0,11292.370*,,,,,,,,,,,,,11292.370014,752.484170722264
33,PK00144721,Barracks Lane Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,BARRLAOS,PG,000000303806,2022/08/18 00:00:00+00,352997.88184403,177789.24030191,4348.06153975,374.57013182,in,0,4348.0615*,,,,,,,,,,,,,4348.06153977,374.570131822691
34,PK00144723,Barton Hill Road A/A,108888,Amenity Area,,Parks and Green Space Site,1,Site,BARTHIROAA,PG,000000303263,2022/08/18 00:00:00+00,360778.71142436,173042.43846044,2250.01936498,238.97011979,In,0,2250.0193*,,,,,,,,,,,,,2250.019365,238.970119790128
35,PK00144728,Begbrook Green Park,108888,District Park," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,BEGBGRPA,PG,000000303329,2022/08/18 00:00:00+00,363070.19155767,177079.50055828,77526.69560948,2180.73653898,In,0,77526.695*,,,,,,,,,,,,,77526.6956095,2180.73653898207
36,PK00144719,Bannerman Road Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,BANNROPA,PG,000000303266,2022/08/18 00:00:00+00,360701.83430152,173839.80529537,4485.45605551,295.42003553,In,0,4485.4560*,,,,,,,,,,,,,4485.4560555,295.420035529142
37,PK00144729,Belland Drive Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,BELLDROS,PG,000000303498,2022/08/18 00:00:00+00,359906.41418984,167662.05212404,10275.61591954,644.24205077,out,0,10275.615*,,,,,,,,,,,,,10275.6159195,644.24205076726
38,PK00144731,Belmont Street Amenity Area,108888,Pocket Park,,Parks and Green Space Site,1,Site,BELLSTSTMA,PG,000000303870,2022/08/18 00:00:00+00,360712.08780106,174426.79052711,585.150076,100.40897294,In,0,585.15007*,,,,,,,,,,,,,585.150076,100.408972946294
39,PK00144730,Bellevue Road Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,BELLROCP,PG,000000299605,2022/08/18 00:00:00+00,361090.3609903,174400.87757241,1592.43867,248.3473128,In,0,1592.4386*,,,,,,,,,,,,,1592.43867,248.347312803311
40,PK00144734,Billand Close,108888,Road Verges,,Parks and Green Space Site,1,Site,BILLCL,PG,000000303485,2022/08/18 00:00:00+00,356369.39860364,167356.10105549,1824.08908651,275.54539273,out,0,1824.0890*,,,,,,,,,,,,,1824.0890865,275.54539272905
