OBJECTID,ASSET_ID,SITE_NAME,FEATURE_ID,LOCATION,TYPE,SITE_CODE,UPRN,CENTROID_X,CENTROID_Y,FEATURE_AREA,FEATURE_LENGTH,WEB_SITE,MAJOR_SITE,SHAPESTArea,SHAPESTLength
1,PK00144904,Horfield Common Tennis Centre (Ardagh),Local Park," Sports Facilities,",Parks and Green Space Site,HORFTECEAR,000000303286,358950.2584,176388.6924,13146.53595,477.5889029,in,13146.535*,13146.53595,477.5889029
2,PK00145098,The Tump,Open Space,,Parks and Green Space Site,THETU,000000303395,353894.0902,177677.0285,34160.45597,1046.824841,in,34160.455*,34160.45597,1046.824841
3,PK00145035,Rowlandson Gardens Open Space,Open Space,,Parks and Green Space Site,ROWLGAOS,000000303906,360524.7953,176945.4009,7183.06342,470.6227491,out,7183.0634*,7183.06342,470.6227491
4,PK00144896,Highridge Park,Open Space,,Parks and Green Space Site,HIGHPA,000000303718,356555.252,168447.2763,1145.42127,355.6403558,out,1145.4212*,1145.42127,355.6403558
5,PK00144849,Frenchay Park Road (Stapleton AFC),Playing Field," Sports Facilities,",Parks and Green Space Site,FRENPAROST,000000303455,363165.6419,177637.4286,28979.86775,796.6386375,In,28979.867*,28979.86775,796.6386375
6,PK00144927,Lakemead Grove Sportsground,Playing Field," Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,LAKEGRSP,000000303705,356786.5169,168677.3113,36181.4131,1040.90774,out,36181.413*,36181.4131,1040.90774
7,PK00145033,Roman Remains (Portway),Amenity Area,,Parks and Green Space Site,ROMAREPO,000000303477,355125.6325,175768.1256,275.41825,68.48536896,out,275.41824*,275.41825,68.48536896
8,PK00145052,South Street Park,Local Park," Play Area,",Parks and Green Space Site,SOUTSTPA,000000303413,358092.6351,171279.7479,4832.462215,439.1613394,in,4832.4622*,4832.462216,439.1613394
9,PK00144991,Novers Common,Open Space,,Parks and Green Space Site,NOVECOSTOS,000000303827,358579.8186,170254.814,68338.98824,1705.625963,out,68338.988*,68338.98824,1705.625963
10,PK00145051,Somerset Square Green Space,Local Park," Attraction,",Parks and Green Space Site,SOMESQ,000000299337,359165.0047,172134.3024,2637.71255,208.7326535,in,2637.7125*,2637.71255,208.7326535
11,PK00145046,Shirehampton Sportsground,Playing Field," Sports Facilities,",Parks and Green Space Site,SHIRSP,000000303497,353701.7907,177153.9208,17401.59069,511.80321,Pe*,17401.590*,17401.59069,511.80321
12,PK00145091,The Coppice,Open Space,,Parks and Green Space Site,THECOP,000000303795,356218.9071,167569.8891,18022.2133,1088.272024,Pa*,18022.213*,18022.2133,1088.272024
13,PK00145032,Roman Remains (Long Cross),Amenity Area," Museum,",Parks and Green Space Site,ROMARELOCR,000000302463,353394.3546,177553.5084,815.376475,126.6178597,out,815.37647*,815.376475,126.6178597
14,PK00144784,City Docks,Amenity Area,"SAM, Heritage at Risk, Attraction,",Parks and Green Space Site,CITYDOCO,,358217.9079,172349.0777,142025.6529,28418.26565,Out,142025.65*,142025.6529,28418.26565
15,PK00144695,Adelaide Place Park,Local Park,,Parks and Green Space Site,ADELPL,000000303897,360835.1437,173881.7787,511.8842668,129.8866946,Out,495.11031*,511.8842669,133.0040867
16,PK00144697,Albany Green Park,Local Park," Play Area,",Parks and Green Space Site,ALBAGR,000000303198,359591.6524,174384.6402,2192.559757,207.9294418,In,2192.5597*,2192.559757,207.9294418
17,PK00144699,Allerton Crescent Amenity Area,Amenity Area,,Parks and Green Space Site,ALLECR,000000303529,360731.6886,167868.4338,3459.724221,244.3141089,Out,3459.7242*,3459.724222,244.3141089
18,PK00144698,Albion Road Amenity Area,Amenity Area," Play Area,",Parks and Green Space Site,ALBIROOS,000000303871,360900.2239,174210.3134,1107.46714,157.7882221,In,1107.4671*,1107.46714,157.7882221
19,PK00144700,Allison Avenue Amenity Area,Amenity Area,,Parks and Green Space Site,ALLIAV,000000303652,362258.5779,171597.2564,2030.942522,203.9294464,In,2030.9425*,2030.942522,203.9294464
20,PK00144701,Allison Avenue & Hill Lawn,Amenity Area,,Parks and Green Space Site,ALLIAVHILA,000000303295,362130.9261,171297.1876,7219.227869,735.5252531,Pe*,7219.2278*,7219.22787,735.5252531
21,PK00201280,Winash Amenity Area,Amenity Area,,Parks and Green Space Site,WINAAA, ,361570.2836,169445.3559,2750.021681,340.0728107,in,2750.0216*,2750.021681,340.0728107
22,PK00144702,Amercombe & Hencliffe Walk,Amenity Area,,Parks and Green Space Site,AMERHEWA,000000303361,361603.3698,169173.622,9742.720401,893.3750208,out,9968.6983*,9742.720401,894.5912827
23,PK00144706,Arlington Villas Park,Local Park,,Parks and Green Space Site,ARLIVI,000000303217,357527.8488,173452.2086,2010.426422,225.40122,Out,2010.4264*,2010.426422,225.40122
24,PK00144705,Argyle Road Playing Fields,Playing Field," Play Area, Sports Facilities,",Parks and Green Space Site,ARGYROPLFI,000000303289,363622.3434,174619.0918,63655.45434,1689.83681,Out,63655.454*,63655.45434,1689.83681
25,PK00144704,Argyle Place Park,Pocket Park," Play Area,",Parks and Green Space Site,ARGYPL,000000299405,357461.6256,172549.931,1093.959246,163.8029949,In,1093.9592*,1093.959247,163.8029949
26,PK00144703,Anchor Square,Amenity Area,Listed Building,Parks and Green Space Site,ANCHSQ,000000303456,358459.5528,172545.9997,3542.323467,339.2664498,Pe*,3810.6529*,3542.323467,344.3066696
27,PK00144712,Ashton Vale Playing Fields,Playing Field," Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,ASHTVAPLFI,000000303279,356289.5729,170292.2969,38064.81555,1089.394396,in,38064.815*,38064.81555,1089.394396
28,PK00144711,Ashton Court Estate,Destination Park," Attraction, Cafe/Mobile Catering, Sports Facilities,",Parks and Green Space Site,ASHTCOES,000000303360,355190.0357,172022.6095,3110614.124,11555.90181,in,3110614.1*,3110614.124,11555.90181
